ID,title,authors,year,venue,url,paper_or_abstract,system_scope,heterogeneity,resource_types,workload_type,task_dependencies,dynamic_workload,addresses_mapping,addresses_scheduling,mapping_scheduling,solver_class,specific_method,algorithm_strategy,hybrid_approach,makespan,utilization,energy,cost,load_balance,throughput,latency,deadline,reliability,security,single_multi_obj,assignment,capacity,feature,precedence,communication,max_tasks,max_resources,eval_type,benchmark,baselines,reproducible,extraction_source,confidence,abstract_length,abstract_preview
110,Based on Multi-constraint Partitioning Multi-objective Workflow Scheduling Algorithm in Hybrid Clouds,"B WANG, Y LIN",2022.0,"UPB Sci. Bull., C","https://www.scientificbulletin.upb.ro/static/pdfs/full81e_382376.pdf
https://www.scientificbulletin.upb.ro/rev_docs_arhiva/rez563_793727.pdf
https://www.researchgate.net/publication/364273898_BASED_ON_MULTI-CONSTRAINT_PARTITIONING_MULTI-OBJECTIVE_WORKFLOW_SCHEDULING_ALGORITHM_IN_HYBRID_CLOUDS",paper,Cloud/HPC/Hybrid,Hetero,VM,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Metaheuristic,Multi-obj,"Constructive/Priority, Population-based",N,Y,,,Y,Y,,,Y,Y,Y,Multi,,Y,,N,Y,100.0,Unknown,Simulation/Trace-based,"CloudSim, Montage, SPEC, WorkflowSim",Unknown,Unknown,full-text,high,179,"In this paper, a multi-objective optimal Heterogeneous workflow Scheduling based on  Multi-constraint ParTitioning algorithm (HSMPT) is proposed. The scheduling design considers a"
111,An energy-efficient task scheduling strategy based on improved fireworks algorithm in heterogeneous cloud,"H Zhao, F Meng, N Feng, Q Wang",2021.0,… on High Performance …,https://ieeexplore.ieee.org/abstract/document/9781231/,paper,Cloud,Hetero,"CPU, GPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,ML/AI/Metaheuristic,"EA, NN",Learning-based/Population-based,Y,Y,Y,Y,,Y,,Y,Y,Y,,Single,,,,N,Y,10.0,3550.0,Real-system/Simulation/Trace-based,"CloudSim, SPEC",Unknown,Unknown,full-text,high,178,"Ismayilov, HR Topcuoglu, “Neural network based multi-objective evolutionary algorithm for  dynamic workflow scheduling in cloud computing,” in Future Generation Computer Systems,"
112,Efficient workflow scheduling algorithm for cloud computing system: a dynamic priority-based approach,"I Gupta, MS Kumar, PK Jana",2018.0,Arabian Journal for Science and …,https://link.springer.com/article/10.1007/s13369-018-3261-8,paper,Cloud,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Priority,Greedy,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Multi,Y,,,N,Y,1000.0,21.0,Real-system/Simulation/Trace-based,"CyberShake, Inspiral, LIGO, Montage, Pegasus, SIPHT, SPEC",Unknown,Unknown,full-text,high,179,"heterogeneous cloud computing environment. In this paper, we propose a workflow scheduling   new dynamic priority list-based workflow scheduling algorithm for heterogeneous cloud."
113,Combinatorial metaheuristic methods to optimize the scheduling of scientific workflows in green DVFS-enabled edge-cloud computing,"MI Khaleel, M Safran, S Alfarhood, D Gupta",2024.0,Alexandria Engineering …,https://www.sciencedirect.com/science/article/pii/S1110016823010827,paper,Cloud,Hetero,"CPU, VM",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Metaheuristic,Metaheuristic,"Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Multi,,Y,,N,Y,500.0,2048.0,Real-system/Simulation/Trace-based,"CloudSim, CyberShake, SIPHT, SPEC",Unknown,Unknown,full-text,high,172,"A significant challenge in high-performance computing is to ensure the even distribution of  applications across computational resources, preventing issues such as resource"
114,An efficient load balancing technique for task scheduling in heterogeneous cloud environment,"H Mahmoud, M Thabet, MH Khafagy, FA Omara",2021.0,Cluster Computing,https://link.springer.com/article/10.1007/s10586-021-03334-z,paper,Cloud/Edge/Fog/HPC,Hetero,VM,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),"Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Multi,Y,Y,,N,Y,1000.0,40.0,Simulation/Trace-based,"CloudSim, Montage, SPEC",Unknown,Unknown,full-text,high,180,[29] have proposed an energy and resource-efficient workflow scheduling algorithm called  ERES to schedule workflow tasks to VMs. Workflow scheduler consists of a workflow analyzer
115,Network reconfiguration algorithm (NRA) for scheduling communication-intensive graphs in heterogeneous computing environment,"A Masood, S Gulzar Ahmad, H Ullah Khan",2020.0,Cluster …,https://link.springer.com/article/10.1007/s10586-019-03002-3,paper,HPC,Hetero,"CPU, GPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),"Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Multi,Y,,,N,Y,100.0,100.0,Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, Montage, Pegasus, Random DAG, Random Graph, SPEC",Unknown,Unknown,full-text,high,177,"Recently, a workflow scheduling problem is addressed in [31 Considering the heterogeneity  in multiple aspects, the  fewer heterogeneity aspect of the high performance computing"
116,Scheduling constrained cloud workflow tasks via evolutionary multitasking optimization with adaptive knowledge transfer,"J Zhou, L Gao, S Rao, Y Li",2024.0,IEEE Transactions on Services …,https://ieeexplore.ieee.org/abstract/document/10682808/,paper,HPC,Hetero,"CPU, Container, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Metaheuristic,EA,Population-based,N,Y,,Y,Y,Y,,Y,Y,Y,,Multi,,Y,Y,N,Y,75.0,15.0,Simulation/Trace-based,"CyberShake, Epigenomics, Inspiral, Montage, SIPHT, SPEC",Unknown,Unknown,full-text,high,181,usually processed at high performance computing infrastructure  constrained multi-workflow  scheduling from the viewpoint of  multi-workflow on heterogeneous distributed computation
117,Replication and data management-based workflow scheduling algorithm for multi-cloud data centre platform,"Z Ulabedin, B Nazir",2021.0,The Journal of Supercomputing,https://link.springer.com/article/10.1007/s11227-020-03541-2,paper,Cloud/HPC/Hybrid,Hetero,VM,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),"Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,Y,Y,,,Y,Y,Y,Multi,,Y,Y,N,Y,1000.0,5.0,Real-system/Simulation/Trace-based,"CyberShake, Epigenomics, LIGO, Montage, Pegasus, SPEC, WorkflowSim",Unknown,Unknown,full-text,high,174,"Scientific workflow applications require high-performance computing resources and huge   With these advantages, research on workflow scheduling has shifted from grid to cloud"
118,A hybrid multi-objective metaheuristic optimization algorithm for scientific workflow scheduling,"A Mohammadzadeh, M Masdari, FS Gharehchopogh",2021.0,Cluster …,https://link.springer.com/article/10.1007/s10586-020-03205-z,paper,Cloud,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Metaheuristic,"Multi-obj, Pareto","Constructive/Priority, Population-based, Learning-based, Quantum",N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Multi,,Y,,N,Y,1000.0,7.0,Real-system/Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, LIGO, Montage, Pegasus, SPEC",Unknown,Unknown,full-text,high,183,"to find dominant responses using Pareto for heterogeneous environments. Bi-objective Dynamic   applications, limited priority in heterogeneous distributed systems like cloud computing"
119,MOTORS: multi-objective task offloading and resource scheduling algorithm for heterogeneous fog-cloud computing scenario,"P Shukla, S Pandey",2024.0,The Journal of Supercomputing,https://link.springer.com/article/10.1007/s11227-024-06315-2,paper,Cloud,Hetero,"CPU, VM",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Metaheuristic,Multi-obj,Population-based,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Multi,,Y,,N,Y,2000.0,Unknown,Simulation/Trace-based,"CyberShake, Epigenomics, Inspiral, LIGO, Montage, Pegasus, SIPHT, SPEC, WorkflowSim",Unknown,Unknown,full-text,high,181,that demand for more high-performance computing capabilities.  We describe the workflow  scheduling method in this section. It  We handle the workflow scheduling problem as a multi-
120,Evolutionary multi-objective workflow scheduling for volatile resources in the cloud,"TP Pham, T Fahringer",2020.0,IEEE Transactions on Cloud …,https://ieeexplore.ieee.org/abstract/document/9090348/,paper,Cloud,Hetero,VM,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Metaheuristic,EA,Population-based,N,Y,,,Y,Y,,,Y,Y,,Multi,,,,N,Y,1000.0,Unknown,Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, Inspiral, Montage, SIPHT, SPEC",Unknown,Unknown,full-text,high,180,Many workflow scheduling algorithms have been proposed  multi-objective workflow  scheduling approach to generate a  multi-objective workflow scheduling algorithm is competitive in
121,Cost-effective workflow scheduling approach on cloud under deadline constraint using firefly algorithm,"KK Chakravarthi, L Shyamala, V Vaidehi",2021.0,Applied Intelligence,https://link.springer.com/article/10.1007/s10489-020-01875-1,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Metaheuristic,Firefly,Population-based,N,Y,Y,Y,Y,Y,,,Y,Y,Y,Multi,Y,Y,Y,N,Y,1000.0,Unknown,Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, LIGO, Montage, Pegasus, SPEC",Unknown,Unknown,full-text,high,186,"Third, there is a limitation in traditional heterogeneous environments with respect to the   resource provisioning and workflow scheduling algorithms. Workflow scheduling is widely known"
122,Computation of workflow scheduling using backpropagation neural network in cloud computing: a virtual machine placement approach,"N Raman, AB Wahab, S Chandrasekaran",2021.0,The Journal of …,https://link.springer.com/article/10.1007/s11227-021-03648-0,paper,Cloud,Hetero,VM,Workflow/DAG,N,Dynamic,Y,Y,Joint,ML/AI,NN,Learning-based,N,Y,Y,Y,Y,Y,,Y,Y,Y,,Single,Y,Y,,N,Y,200.0,Unknown,Simulation/Trace-based,"CloudSim, CyberShake, Inspiral, Montage, SPEC",Unknown,Unknown,full-text,high,180,"For measuring the efficiency of workflow scheduling, determining makespan and execution   , designing an efficient computation of workflow scheduling remains a challenge. The Cloud"
123,Task Characterization-Based Energy-Aware Scheduling Algorithm in Heterogeneous Computing Systems,"Y Lu, J Wu, J Lu, W Hu, D Jiang",2025.0,International Conference on Intelligent …,https://link.springer.com/chapter/10.1007/978-981-96-9961-2_40,abstract,Cloud,Hetero,CPU,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),Learning-based,N,Y,,Y,,,,,,Y,,Single,,,,N,,Unknown,Unknown,Simulation,Unknown,Unknown,Unknown,title-only,low,180,"meet the requirements of high-performance computing, multi-core  workflow scheduling length  problem for heterogeneous  to minimize the workflow scheduling length for heterogeneous"
124,Heterogeneity-aware resource allocation in HPC systems,"A Netti, C Galleguillos, Z Kiziltan, A Sîrbu",2018.0,… Performance Computing,https://link.springer.com/chapter/10.1007/978-3-319-92040-5_1,paper,HPC,Hetero,"CPU, GPU",Batch,N,Static,Y,Y,Joint,Exact/Metaheuristic,DE,"Population-based, Mathematical",N,,Y,Y,,Y,Y,Y,,Y,,Multi,,Y,Y,N,Y,967.0,64.0,Real-system/Simulation/Trace-based,"SPEC, STG",Unknown,Unknown,full-text,high,177,"heterogeneity-aware resource allocation becomes crucial for heterogeneous HPC systems.   describes the Eurora HPC system, its workload datasets, and the scheduling algorithms we"
125,Advanced Resource Allocation in the Context of Heterogeneous Workflows Management,"F Lubrano, C Vercellino, G Vitali, P Viviani",2024.0,Proceedings of the 2nd …,https://dl.acm.org/doi/abs/10.1145/3642978.3652835,paper,HPC,Hetero,"CPU, GPU",Workflow/DAG,Y,Dynamic,Y,Y,Joint,Exact/ML/AI/Metaheuristic/Quantum,DE,"Population-based, Learning-based, Mathematical, Quantum",N,Y,Y,Y,,,Y,Y,Y,Y,Y,Multi,,Y,,Y,Y,16.0,36.0,Simulation,"Pegasus, SPEC",Unknown,Unknown,full-text,high,1347,"In High-Performance Computing (HPC), workflows are utilized to define and manage a set of interdependent computations which allow the users to extract insights from (scientific) numerical simulations or data analytics. HPC platforms can perform extreme-scale simulations, combining Artificial Intelli"
126,Real-time workload prediction and resource optimization for parallel heterogeneous high-performance computing systems architectures,"A Aslam, ZD Anuarovna",2025.0,Ubiquitous Technology Journal,https://crosslinkstudies.com/ubicc/index.php/utj/article/view/11,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, FPGA, GPU",DNN/Training/Workflow/DAG,N,Dynamic,Y,Y,Joint,ML/AI,ML,"Population-based, Learning-based",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Single,Y,,Y,N,Y,Unknown,24.0,Real-system/Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,181,"resource management framework for heterogeneous parallel architectures that efficiently  addresses the challenges of task scheduling, resource allocation, and energy optimization in"
127,A Graph-based Deep Reinforcement Learning Model for Task Scheduling on Heterogeneous Resource-Elastic Management of Resource Pool,"C Zhang, F Wu, Z Wang, X Wang",2025.0,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/11202232/,paper,Cloud/Edge/Fog/HPC/Hybrid,Hetero,"CPU, FPGA, GPU, VM",Batch/Container/Workflow/DAG,N,Dynamic,Y,Y,Joint,ML/AI,"DRL, RL",Learning-based,N,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Multi,,Y,Y,N,Y,500.0,10.0,Simulation/Trace-based,"CyberShake, Epigenomics, LIGO, Montage, SPEC",Unknown,Unknown,full-text,high,178,"Then, we design a dynamic resource allocation strategy model based on deep reinforcement  learning (DRL) to reduce job processing time. Finally, we compare the performance of our"
128,A framework for heterogeneous resource allocation in sensor-cloud environment,"S Bose, D Sarkar, N Mukherjee",2019.0,Wireless Personal Communications,https://link.springer.com/article/10.1007/s11277-019-06383-1,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, Container, VM",Container/Workflow/DAG,N,Dynamic,Y,Y,Joint,Heuristic/Metaheuristic,Unknown,"Constructive/Priority, Population-based",N,Y,Y,Y,Y,,,,Y,Y,Y,Multi,Y,Y,Y,N,,Unknown,Unknown,Real-system/Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,182,only for immediate resource allocation. Our  scheduling algorithms for resources in an  optimized way to minimize operational cost and maximize sensor lifetime with the heterogeneous
129,An integrated optimization-based algorithm for energy efficiency and resource allocation in heterogeneous cloud computing centers,"KY Tai, FYS Lin, CH Hsiao",2023.0,Ieee Access,https://ieeexplore.ieee.org/abstract/document/10138402/,paper,Cloud,Hetero,"CPU, GPU, VM",Batch/Container/Workflow/DAG,N,Dynamic,Y,Y,Joint,Exact/ML/AI,"ML, MP",Exact/Learning-based,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Multi,,,,N,Y,Unknown,Unknown,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,1398,"At a significant moment in the rapid development of cloud technology, large-scale cloud computing centers have emerged. With the emergence of the internet and artificial intelligence, enormous computing resources are required to process data and train machine learning models. The architecture of clo"
130,Multi-agent deep reinforcement learning-based resource allocation in hpc/ai converged cluster,"J Narantuya, JS Shin, S Park, JW Kim",2022.0,,"https://www.techscience.com/cmc/v72n3/47450
https://scholar.gist.ac.kr/handle/local/10866",paper,HPC,Hetero,"CPU, Container, GPU, VM",Batch/Container/DNN/Training/Workflow/DAG,N,Dynamic,Y,Y,Joint,ML/AI,"DL, DRL, RL",Learning-based,N,Y,Y,Y,,,Y,Y,Y,,,Multi,,Y,Y,N,Y,40960.0,40960.0,Real-system/Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,179,There are several existing works on resource allocation and job scheduling in HPC/AI   They used the heterogeneous distributed deep learning (HDDL) model to schedule multiple jobs
131,Scalable management of heterogeneous cloud resources based on evolution strategies algorithm,"P Loncar, P Loncar",2022.0,IEEE access,https://ieeexplore.ieee.org/abstract/document/9805748/,paper,Cloud/HPC/Hybrid,Hetero,"CPU, VM",Batch/Container,N,Unknown,Y,Y,Joint,Metaheuristic,EA,"Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Multi,Y,Y,,N,Y,50000.0,11000.0,Simulation/Trace-based,"CloudSim, SPEC",Unknown,Unknown,full-text,high,183,This research focuses on scheduling tasks and processing scientific data in a heterogeneous   was examined in [38] as a job scheduling policy to solve the resource allocation and task
132,Optimizing HPC scheduling: a hierarchical reinforcement learning approach for intelligent job selection and allocation: L. Wang et al.,"L Wang, MA Rodriguez, N Lipovetzky",2025.0,The Journal of Supercomputing,https://link.springer.com/article/10.1007/s11227-025-07396-3,paper,HPC,Hetero,"CPU, GPU",Batch,N,Dynamic,Y,Y,Joint,ML/AI,RL,Learning-based,N,,Y,Y,,Y,Y,Y,,Y,,Multi,,Y,,N,Y,1000.0,1000.0,Real-system/Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,182,"and resource allocation, particularly in dynamic and heterogeneous HPC environments. In   optimizes job selection and resource allocation through hierarchical reinforcement learning."
133,Multi-criteria HPC task scheduling on IaaS cloud infrastructures using meta-heuristics,"A Chhabra, G Singh, KS Kahlon",2021.0,Cluster Computing,https://link.springer.com/article/10.1007/s10586-020-03168-1,paper,Hybrid,Hetero,"CPU, VM",Batch,N,Dynamic,Y,Y,Joint,Metaheuristic,Meta-H,"Constructive/Priority, Population-based, Mathematical",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Multi,,,,N,,200.0,8.0,Simulation/Trace-based,"CloudSim, SPEC",Unknown,Unknown,full-text,high,177,"is a known NP-Hard problem due to heterogeneous workloads and computing resources,   scheduling policies presented in this section, which could optimize only resource allocation"
134,Dynamic tasks scheduling with multiple priorities on heterogeneous computing systems,"H Tayeb, B Bramas, M Faverge",2024.0,2024 IEEE …,https://ieeexplore.ieee.org/abstract/document/10596474/,paper,HPC,Hetero,"CPU, GPU",Workflow/DAG,N,Dynamic,Y,Y,Joint,Heuristic,Dynamic/Adaptive,"Constructive/Priority, Population-based",N,Y,Y,,Y,Y,,,,Y,,Multi,Y,Y,,N,Y,Unknown,32.0,Real-system/Simulation/Trace-based,"SPEC, SimGrid",Unknown,Unknown,full-text,high,189,"efficient resource allocation in our scheduling algorithm, ultimately taking full advantage of  all available heterogeneous resources to optimize the overall performance of the application."
135,"Orchestrated co-scheduling, resource partitioning, and power capping on CPU-GPU heterogeneous systems via machine learning","I Saba, E Arima, D Liu, M Schulz",2022.0,International Conference on Architecture …,https://link.springer.com/chapter/10.1007/978-3-031-21867-5_4,paper,HPC,Hetero,"CPU,GPU",Batch,N,Dynamic,Y,Y,Joint,ML/AI,ML,Learning-based,N,Y,Y,Y,Y,,Y,Y,,,,Multi,,,,N,Y,16.0,32.0,Real-system/Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,191,"simply pick the first element that represents the number of core or GPC allocation to the first  job (\(\mathrm {J_1}\)), and then divide it by the maximum number of the resource allocation ("
136,Towards OS Heterogeneity Aware Cluster Management for HPC,"Z An, D Li, Y Guo, G Gao, Y Ren, N Jia",2023.0,Proceedings of the 14th …,https://dl.acm.org/doi/abs/10.1145/3609510.3609819,paper,HPC,Hetero,"CPU, VM",Workflow/DAG,N,Unknown,Y,Y,Joint,ML/AI/Metaheuristic,DE,"Population-based, Learning-based",N,,Y,Y,Y,Y,Y,Y,Y,,,Multi,,,,N,,Unknown,7742.0,Real-system/Trace-based,SPEC,Unknown,Unknown,full-text,high,183,of introducing heterogeneity awareness into the whole cluster scheduling workflow. We   existing cluster scheduler to realize the optimal resource allocation under heterogeneous OSes.
137,Optimal job scheduling with resource packing for heterogeneous servers,"H Xu, Y Liu, WC Lau",2021.0,IEEE/ACM Transactions on Networking,https://ieeexplore.ieee.org/abstract/document/9393492/,paper,Cloud/HPC,Hetero,CPU,Batch,N,Dynamic,Y,Y,Joint,Exact,Exact/MILP,"Constructive/Priority, Learning-based",N,Y,Y,,,Y,,Y,,,Y,Multi,,Y,Y,N,,6487.0,1555.0,Real-system/Simulation/Trace-based,"Google Trace, SPEC",Unknown,Unknown,full-text,high,185,"In this paper, we consider the problem of job scheduling for a computing cluster comprised  of multiple servers with heterogeneous  In addition, the two resource allocation variables zi"
138,Performance Optimization of HPC Workloads in Cloud Using AI-Driven Algorithms,"A Iftekhar, R Mishra",2025.0,Asian Symposium on Programming Languages and …,https://link.springer.com/chapter/10.1007/978-981-95-3585-9_13,abstract,HPC,Hetero,"CPU, GPU",Batch,N,Unknown,Y,Y,Joint,Heuristic/ML/AI,Unknown,"Constructive/Priority, Learning-based",N,,Y,,,,,Y,,,,Multi,,,,N,,Unknown,Unknown,Unknown,Unknown,FCFS,Unknown,partial-abstract,low,182,scheduling becomes critical. Conventional schedulers such as FCFS or SJF often struggle to  adapt to the heterogeneous  -based scheduler that improves resource allocation efficiency.
139,… : A Graph Neural Network and Reinforcement Learning Framework for Constraint and Data-Aware Workflow Mapping and Scheduling in Heterogeneous HPC …,"AK Sharma, J Kunkel",2025.0,"IEEE-COMPSAC25
arXiv preprint arXiv:2506.00260","https://ieeexplore.ieee.org/document/11126727
https://arxiv.org/abs/2506.00260",paper,HPC,Hetero,Container,Workflow/DAG,N,Dynamic,Y,Y,Joint,ML/AI,"GNN, NN, RL",Learning-based,N,Y,Y,Y,,Y,Y,Y,,Y,Y,Multi,Y,Y,,N,Y,1000.0,8.0,Real-system/Simulation/Trace-based,"SPEC, STG",Unknown,Unknown,full-text,high,177,for practical HPC mapping and scheduling applications.  resource allocation within an  HPC-CC context. Our automated procedure for workload assignment and scheduling in the HPC-
140,An Intelligent Approach to Resource Allocation on Heterogeneous Cloud Infrastructures,"J Marquez, OH Mondragon, JD Gonzalez",2021.0,Applied Sciences,https://www.mdpi.com/2076-3417/11/21/9940,paper,Cloud/Edge/Fog/HPC/Hybrid,Hetero,"CPU, Container, VM",Batch/Container,N,Unknown,Y,Y,Joint,Exact/Heuristic/ML/AI/Metaheuristic,"ACO, CloudSim, DE, GA","Constructive/Priority, Population-based, Learning-based, Mathematical",N,Y,Y,Y,,,Y,Y,,Y,,Multi,,,,N,Y,Unknown,2.0,Real-system/Simulation/Trace-based,"CloudSim, SPEC",Unknown,Unknown,full-text,high,181,"algorithm that selects a heterogeneous storage device (SSD or HDD) to execute each task,  based on certain probabilities. This algorithm solves a workload scheduling problem that is"
141,Efficient configuration of heterogeneous resources and task scheduling strategies in deep learning auto-tuning systems,"PY Ken, CC Wu",2025.0,The Journal of Supercomputing,https://link.springer.com/article/10.1007/s11227-025-07798-3,paper,HPC,Hetero,"CPU, GPU",DNN/Training/Workflow/DAG,N,Dynamic,Y,Y,Joint,ML/AI,DL,Learning-based,N,Y,Y,,Y,Y,Y,Y,,Y,,Single,Y,Y,,N,,32.0,32.0,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,181,"First, we propose an Automatic Heterogeneous Resource Allocation Strategy, which  dynamically adapts resource distribution based on Node configurations, optimizing utilization while"
142,HARMONIC: Uncertainty-Aware Multi-Objective Optimization for Energy-Efficient HPC Resource Management,"KC Adimora, H Sun",2025.0,IEEE Transactions on Parallel and …,https://ieeexplore.ieee.org/abstract/document/11165096/,paper,HPC,Hetero,CPU,Batch/Workflow/DAG,N,Dynamic,Y,Y,Joint,Metaheuristic,Multi-obj,"Constructive/Priority, Population-based, Learning-based, Quantum",N,Y,Y,Y,Y,Y,Y,,Y,Y,,Multi,,,,N,Y,50000.0,50000.0,Real-system/Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,178,"develop confidenceaware resource allocation strategies that  We represent the HPC  environment as a heterogeneous  of job scheduling decisions, including resource allocation, job"
143,Efficient Multi-Cluster Scheduling for Heterogeneous Workloads,"X Wang, X Li, X Xia, M Yang",2025.0,IEEE Access,https://ieeexplore.ieee.org/abstract/document/11222093/,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, Container, GPU, VM",Container/DNN/Training/Workflow/DAG,N,Dynamic,Y,Y,Joint,Heuristic/ML/AI/Metaheuristic,"A3C, CloudSim, DE","Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,,Y,Y,Y,,Y,Y,Multi,,Y,Y,N,Y,Unknown,64.0,Real-system/Simulation/Trace-based,"CloudSim, SPEC",Unknown,Unknown,full-text,high,181,"for effective cross-cluster scheduling in heterogeneous environments. Consequently, they  often encounter issues such as inefficient task-to-resource allocation, suboptimal resource"
144,Energy-saving scheduling on IaaS HPC cloud environments based on a multi-objective genetic algorithm.,"S Vila, F Guirado, JL Lerida",2019.0,Journal of …,"https://link.springer.com/article/10.1007/s11227-018-2668-z
https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09208542&AN=135780620&h=D%2Fec9BbKYY9n4ChHpOPSe73%2BwXddFGI1QUKOSooCVHPNpfnFepENQ2D%2FVv46i91ftj9MQlpyOJmq%2BO7jnR9aHA%3D%3D&crl=c",paper,Hybrid,Hetero,VM,Batch,N,Dynamic,Y,Y,Joint,Metaheuristic,GA,Population-based,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Single,,Y,,N,Y,200.0,Unknown,Simulation/Trace-based,"CloudSim, SPEC",Unknown,Unknown,full-text,high,188,"However, in this environment, the inherent resources heterogeneity, the virtual machine  ,  on dynamic scheduling the task arrival is uncertain at run time and the resource allocation must"
145,A scalable and adaptable allocation framework for heterogeneous resources in a large cluster environment,"C Filelis‐Papadopoulos, H Xiong",2021.0,Concurrency and …,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.5564,abstract,Cloud/HPC,Hetero,VM,Batch/Container,N,Unknown,Y,Y,Joint,Heuristic/ML/AI/Metaheuristic,Unknown,"Constructive/Priority, Population-based, Learning-based",N,,,Y,,Y,,,,,Y,Multi,,,,N,,Unknown,Unknown,Real-system/Trace-based,SPEC,Unknown,Unknown,partial-abstract,low,184,re-examination of the resource allocation problem by proposing a framework to support  distributed resource allocation decisions and that  Optimal job scheduling is an NP-hard problem.
